regime,seed,method,n_rows_common,auroc,auprc,prec_at_k,shd,n_true_edges,n_rows_scored
nonlinear_mixed,2028,Permutation-on-SNI-fair-noOracle,11,0.737874097007224,0.5093946754139959,0.5263157894736842,18,19,11
nonlinear_mixed,2029,SNI-D,11,0.6781674208144797,0.2578255818482542,0.29411764705882354,24,17,11
nonlinear_mixed,2029,MissForest-importance,11,0.877262443438914,0.5996915420780531,0.47058823529411764,18,17,11
nonlinear_mixed,2029,SHAP-on-MissForest,11,0.869343891402715,0.5771478784653803,0.5294117647058824,16,17,11
nonlinear_mixed,2029,Permutation-on-MissForest,11,0.8885746606334841,0.6343915608242423,0.6470588235294118,12,17,11
nonlinear_mixed,2029,P-alone,11,0.6968325791855203,0.3659368382612236,0.4117647058823529,20,17,11
nonlinear_mixed,2029,SNI-D-fairhost,11,0.6781674208144797,0.2578255818482542,0.29411764705882354,24,17,11
nonlinear_mixed,2029,Permutation-on-SNI-fair-oracle,11,0.8976244343891403,0.6885230434197305,0.5882352941176471,14,17,11
nonlinear_mixed,2029,Permutation-on-SNI-fair-noOracle,11,0.8766968325791856,0.6575947658294503,0.5882352941176471,14,17,11
interaction_xor,2025,SNI-D,6,0.8549382716049383,0.7699164751796332,0.5833333333333334,10,12,6
interaction_xor,2025,MissForest-importance,6,0.9830246913580246,0.9405686418844315,0.8333333333333334,4,12,6
interaction_xor,2025,SHAP-on-MissForest,6,0.9969135802469137,0.9880952380952381,0.9166666666666666,2,12,6
interaction_xor,2025,Permutation-on-MissForest,6,0.9938271604938271,0.9791666666666666,0.9166666666666666,2,12,6
interaction_xor,2025,P-alone,6,0.875,0.7046958309889345,0.6666666666666666,8,12,6
interaction_xor,2025,SNI-D-fairhost,6,0.8549382716049383,0.7699164751796332,0.5833333333333334,10,12,6
interaction_xor,2025,Permutation-on-SNI-fair-oracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2025,Permutation-on-SNI-fair-noOracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2026,SNI-D,6,0.8163580246913581,0.7065852302459446,0.5,12,12,6
interaction_xor,2026,MissForest-importance,6,0.9891975308641976,0.9609699940582295,0.9166666666666666,2,12,6
interaction_xor,2026,SHAP-on-MissForest,6,0.9984567901234568,0.9935897435897436,0.9166666666666666,2,12,6
interaction_xor,2026,Permutation-on-MissForest,6,0.9953703703703703,0.9833333333333333,0.9166666666666666,2,12,6
